iteration,energy
1,-16.9462890625
2,-19.300292968749996
3,-10.158935546875
4,-19.5712890625
5,-15.260009765625
6,-20.50927734375
7,1.66015625
8,5.6630859375
9,1.238037109375
10,7.8408203125
11,-15.605468750000002
12,-10.83056640625
13,2.728759765625
14,2.36181640625
15,3.279541015625
16,-0.000732421875
17,-2.42529296875
18,-5.247314453125
19,-26.93505859375
20,-28.318115234375
21,-5.107177734375
22,-1.593994140625
23,-13.58935546875
24,-14.60595703125
25,-34.25732421875
26,-33.728271484375
27,-6.973388671875
28,-1.4038085937500002
29,34.762451171875
30,37.730712890625
31,6.19189453125
32,1.3461914062499998
33,27.430908203124996
34,28.355957031250004
35,13.044189453125
36,11.466064453125
37,30.292236328125
38,28.631103515625
39,-4.483642578125
40,-5.95263671875
41,-2.177490234375
42,2.053955078125
43,-7.2568359375
44,-10.800781249999998
45,1.893798828125
46,6.380615234375
47,-8.333984375
48,-6.197998046875
49,24.454345703125
50,32.853271484375
51,-7.949951171875
52,-4.926513671875
53,4.875244140625001
54,5.909423828125
55,21.9716796875
