index,bitstring,cost,energy,probability
0,011100100001000000000000,50,0.0,0.0009765625
1,000110001001001100101001,50,300.25,0.0009765625
8,000100001001001110101001,50,500.5,0.0009765625
19,001100001001011110101101,50,750.75,0.0009765625
28,010000001001001000101001,50,901.0,0.0009765625
40,001100100001000010010110,50,1001.25,0.0009765625
55,010100001001011100000101,50,1151.25,0.0009765625
57,000100100001011010100101,50,1151.25,0.0009765625
71,111000001001010000100110,50,1251.5,0.0009765625
72,000000100001010100100110,50,1251.5,0.0009765625
75,001000100001100001010101,50,1251.5,0.0009765625
82,000111001001101001000000,50,1351.5,0.0009765625
100,000000100001000101111111,50,1401.75,0.0009765625
105,000000001001100000011010,50,1451.75,0.0009765625
145,001110001001010110100111,50,1652.0,0.0009765625
164,100000100001101010011001,50,1752.0,0.0009765625
176,000110001001111000001011,50,1802.0,0.0009765625
186,000000100001010100101010,50,1852.25,0.0009765625
198,000110001001110001100001,50,1902.25,0.0009765625
224,111010001001010000100110,50,2052.5,0.0009765625
235,101001001001011000001010,50,2152.5,0.0009765625
244,100001001001111001100110,50,2202.5,0.0009765625
296,100100100001010001110100,50,2453.0,0.0009765625
316,010010100001111100110000,50,2603.0,0.0009765625
321,000001100001111000011101,50,2603.0,0.0009765625
325,001001001001100001001000,50,2653.25,0.0009765625
346,010100100001110011111110,50,2703.25,0.0009765625
353,011000001001101001110100,50,2753.25,0.0009765625
394,000111001001110001000001,50,2903.5,0.0009765625
398,100000001001110100010011,50,2903.5,0.0009765625
440,010010100001011001110000,50,3153.75,0.0009765625
457,000101001001010000100110,50,3254.0,0.0009765625
472,100111001001101000011001,50,3354.0,0.0009765625
502,010100001001101010111100,50,3554.25,0.0009765625
507,001000001001111000010100,50,3604.25,0.0009765625
513,010001001001000000101010,50,3604.5,0.0009765625
525,000011100001110001000011,50,3704.5,0.0009765625
557,100100100001001001111100,50,3904.75,0.0009765625
610,101101100001100010011010,50,4255.25,0.0009765625
613,110100100001010000110111,50,4255.25,0.0009765625
619,100011001001001001010111,50,4305.25,0.0009765625
636,101010100001010000010010,50,4455.5,0.0009765625
650,000011001001001100111101,50,4505.5,0.0009765625
731,100101001001111001110011,50,5206.25,0.0009765625
737,010101001001110000100110,50,5306.5,0.0009765625
748,000101100001111001010111,50,5406.5,0.0009765625
790,010111100001001000101001,50,5907.25,0.0009765625
809,010110100001000011111111,50,6207.75,0.0009765625
821,111111001001010101100100,50,6458.0,0.0009765625
825,011101100001101001001100,50,6558.0,0.0009765625
887,000111001001001001111100,50,7509.25,0.0009765625
919,010011001001100001101111,50,8060.0,0.0009765625
940,100101001001001001111101,50,8710.75,0.0009765625
973,111101100001001001111001,50,10112.5,0.0009765625
974,011101001001110011110011,50,10112.5,0.0009765625
1003,011101001001000101111100,50,12415.5,0.0009765625
