index,bitstring,energy,probability
0,011100100001100000,10.0,0.0009765625
1,000011001100010000,10.25,0.0009765625
2,010000100100000100,10.25,0.0009765625
3,110000001100000100,10.25,0.0009765625
4,110001010010101000,20.25,0.0009765625
5,001100000001110010,20.25,0.0009765625
6,000011010000011000,20.5,0.0009765625
7,000011100100011000,20.5,0.0009765625
8,001001010010011000,20.5,0.0009765625
9,001100000001011000,20.5,0.0009765625
10,000011000011011000,20.5,0.0009765625
11,100100011000010100,20.5,0.0009765625
12,000110011000010100,20.5,0.0009765625
13,110000100100010100,20.5,0.0009765625
14,100100001001010100,20.5,0.0009765625
15,010000100100001100,20.5,0.0009765625
16,110000001100001100,20.5,0.0009765625
17,110000010010001100,20.5,0.0009765625
18,000001010010001100,20.5,0.0009765625
19,110000000110001100,20.5,0.0019531250000000004
20,000010000100010110,20.5,0.0009765625
21,000111011000110100,30.5,0.0009765625
22,001101010010110100,30.5,0.0019531250000000004
23,110100011000101100,30.5,0.0009765625
24,000111011000101100,30.5,0.0009765625
25,011100100001101100,30.5,0.0009765625
26,110000000100110110,30.5,0.0009765625
27,001100001001110110,30.5,0.0009765625
28,001100011000101110,30.5,0.0009765625
29,100100011000100101,30.5,0.0009765625
30,000100001101010000,30.75,0.0009765625
31,010010110000001000,30.75,0.0009765625
32,000001011000001000,30.75,0.0009765625
33,000000001001011000,30.75,0.0009765625
34,001101000011011000,30.75,0.0009765625
35,110000110000000100,30.75,0.0009765625
36,001100110100000100,30.75,0.0009765625
37,001100001100000100,30.75,0.0009765625
38,110000010010000100,30.75,0.0009765625
39,000000100100010100,30.75,0.0009765625
40,100000001100010100,30.75,0.0009765625
41,000010001100010100,30.75,0.0009765625
42,110001000110010100,30.75,0.0009765625
43,010011110000001100,30.75,0.0009765625
44,000000010010001100,30.75,0.0009765625
45,001100000000011100,30.75,0.0019531250000000004
46,000011000000011100,30.75,0.0009765625
47,010000100000011100,30.75,0.0009765625
48,110000001000011100,30.75,0.0009765625
49,000100011000011100,30.75,0.0009765625
50,010000100100011100,30.75,0.0009765625
51,000001010010011100,30.75,0.0009765625
52,010000100001011100,30.75,0.0009765625
53,001100100001011100,30.75,0.0009765625
54,000011110000011010,30.75,0.0009765625
55,000000010100000110,30.75,0.0009765625
56,000110001001010110,30.75,0.0009765625
57,000100011000001110,30.75,0.0009765625
58,000000010000011110,30.75,0.0009765625
59,001000010000011110,30.75,0.0009765625
60,100000000100011110,30.75,0.0009765625
61,000000000001011001,30.75,0.0009765625
62,000000100001011001,30.75,0.0009765625
63,000000000011011001,30.75,0.0009765625
64,000010110000001101,30.75,0.0009765625
65,011101000110100000,40.75,0.0009765625
66,000110011001100000,40.75,0.0009765625
67,001101000010101000,40.75,0.0009765625
68,011001110010101000,40.75,0.0009765625
69,000001000010111000,40.75,0.0009765625
70,000101010010100100,40.75,0.0009765625
71,000111010010100100,40.75,0.0009765625
72,000011000100110100,40.75,0.0009765625
73,000011110000101100,40.75,0.0009765625
74,010010100100101100,40.75,0.0009765625
75,001100010010101100,40.75,0.0009765625
76,110100001000111100,40.75,0.0009765625
77,011100100001111100,40.75,0.0009765625
78,001100000100110010,40.75,0.0019531250000000004
79,000011011100101010,40.75,0.0009765625
80,110000110100100110,40.75,0.0009765625
81,100001010010100110,40.75,0.0009765625
82,001101010010101110,40.75,0.0009765625
83,000011010000111110,40.75,0.0009765625
