iteration,energy
1,77.0947265625
2,267.34228515625
3,2363.2316894531255
4,2304.62646484375
5,1514.333984375
6,1406.697998046875
7,309.332275390625
8,180.70019531250003
9,1377.4912109375
10,1435.78515625
11,2372.11083984375
12,2553.3642578125
13,-370.94848632812506
14,-308.98291015625
15,-1015.683837890625
16,-905.470703125
17,1516.989990234375
18,1428.082763671875
19,312.071044921875
20,277.23388671875
21,-937.4909667968749
22,-1052.82568359375
23,1216.95849609375
24,1198.50390625
25,-783.2912597656251
26,-787.670166015625
27,-787.436279296875
28,-688.9909667968749
29,-972.64306640625
30,-1055.174560546875
31,1176.06396484375
32,1174.26708984375
33,1173.008544921875
34,1091.729248046875
35,-891.275634765625
36,-667.717529296875
37,1465.14453125
38,1538.454833984375
39,1130.628662109375
40,1306.22607421875
41,-891.082275390625
42,-925.79931640625
43,-1013.14453125
44,-861.093017578125
45,-1309.591796875
46,-1171.859375
47,2614.168212890625
48,2298.373291015625
49,-969.915771484375
50,-1408.125732421875
51,1428.203369140625
52,1378.8603515625
53,-168.92578125
54,1452.26611328125
55,-313.406494140625
56,793.7451171875
57,-982.921630859375
58,601.736328125
59,-347.78833007812506
60,-508.303955078125
61,151.478759765625
62,558.465576171875
63,-50.729736328125
64,4394.803955078125
65,-53.221435546875
66,-183.149658203125
67,126.235107421875
68,-1138.255126953125
69,870.6284179687499
70,-1221.28564453125
71,-130.995361328125
72,373.94213867187506
73,483.23706054687506
74,-298.167236328125
75,3206.10205078125
76,1769.9072265625
77,-342.67041015625
78,1372.165283203125
79,340.24389648437494
80,639.0480957031249
81,-294.06298828125
82,449.8564453125
83,3317.860107421875
84,-525.2880859375
85,552.01220703125
86,7491.577880859374
87,-381.32666015625
88,1837.11376953125
89,847.438720703125
90,-1732.751220703125
91,-2133.63720703125
92,-511.524169921875
93,2323.10009765625
94,3261.63671875
95,-64.85986328125
96,1209.7783203125
97,4036.3798828125
98,-1155.414306640625
99,34.951171875
100,322.030029296875
101,443.7412109375
102,3192.614501953125
103,-671.781005859375
104,283.150146484375
105,635.237060546875
106,156.7412109375
107,-214.6435546875
108,-683.799072265625
109,-138.111572265625
110,-975.9736328125
111,-1635.33740234375
112,1121.147705078125
113,190.637939453125
114,44.16064453125001
115,-112.55078125
116,-851.238525390625
117,-316.111328125
118,605.334716796875
119,-2259.969970703125
120,2647.16064453125
121,552.809814453125
122,-216.57568359375
123,-455.99365234375
124,-228.00048828125
125,-494.360595703125
126,2213.77685546875
127,149.100341796875
128,1301.7768554687498
129,52.880615234375
130,1898.51220703125
131,51.80615234375
132,279.7060546875
133,2270.730224609375
134,378.803955078125
135,-969.039306640625
136,1234.413330078125
137,360.41162109375
138,-494.30029296875006
139,-125.925048828125
140,-171.05590820312503
141,-369.489501953125
142,87.89404296875
143,-46.444580078125
144,229.77783203125
145,-182.608642578125
146,803.68603515625
147,84.56982421875
148,930.773681640625
149,-83.537841796875
150,1572.6259765625
151,184.821533203125
152,728.870361328125
153,2144.67822265625
154,1099.76611328125
155,-2002.9609375000002
156,-298.767333984375
157,-681.15625
158,1133.039794921875
159,1116.739990234375
160,-2410.556884765625
161,402.45532226562494
162,-594.876953125
163,-629.254150390625
164,-1289.81884765625
165,-749.886474609375
166,808.236328125
167,-1812.6767578125
168,381.783447265625
169,-752.32177734375
170,292.081787109375
171,-247.81787109375
172,1112.495361328125
173,-1760.6193847656248
174,580.609619140625
175,1564.90185546875
176,-84.33203125
177,729.900390625
178,931.7216796875
179,1003.1093749999999
180,767.28076171875
181,248.279541015625
182,859.0026855468751
183,30.09228515625
184,1510.29833984375
185,-512.974609375
186,-258.874755859375
187,-276.5244140625
188,1041.989990234375
189,365.63134765625006
190,-1050.127197265625
191,137.42822265625
192,991.9912109375
193,-279.688232421875
194,203.760009765625
195,562.777099609375
196,973.701904296875
197,3870.3876953125
198,392.40576171875
199,-547.932373046875
200,223.890380859375
