# best_solutions_for_time
bitstring,rank,join_order,cost,time_ms,used_fallback,energy,count,probability
11110100111101010001,0,"[1, 0, 2, 3]",39,3.2775402069091797,False,4.631484284171184,1,9.765625e-05

# all_solutions
bitstring,index,join_order,cost,time_ms,used_fallback,energy,count,probability
11110100111101010001,0,"[1, 0, 2, 3]",39,3.2775402069091797,False,4.631484284171184,1,9.765625e-05
11110100111101010001,1,"[1, 0, 2, 3]",39,3.322601318359375,True,4.631484284171184,1,9.765625e-05
11011100010100110001,2,"[2, 0, 1, 3]",104,3.361225128173828,False,4.963555161682115,1,9.765625e-05
11011100010100110001,3,"[2, 0, 1, 3]",104,3.3791065216064453,True,4.963555161682115,1,9.765625e-05
11010100010101000001,4,"[0, 2, 1, 3]",104,3.399372100830078,False,6.067964658404751,1,9.765625e-05
11010100010101000001,5,"[0, 1, 2, 3]",39,3.414154052734375,True,6.067964658404751,1,9.765625e-05
01011100011100010000,6,"[2, 1, 0, 3]",84,3.4341812133789062,False,6.26745930490492,1,9.765625e-05
01011100011100010000,7,"[2, 0, 1, 3]",104,3.4475326538085938,True,6.26745930490492,1,9.765625e-05
11010100010101110001,8,"[0, 2, 1, 3]",104,3.4627914428710938,False,6.766315825623745,1,9.765625e-05
11010100010101110001,9,"[0, 1, 2, 3]",39,3.4761428833007812,True,6.766315825623745,1,9.765625e-05
01011100010100000000,10,"[2, 1, 0, 3]",84,3.4906864166259766,False,6.854500918858335,1,9.765625e-05
01011100010100000000,11,"[2, 0, 1, 3]",104,3.503084182739258,True,6.854500918858335,1,9.765625e-05
01011100010100010100,12,"[2, 1, 0, 3]",84,3.5173892974853516,False,6.857311211438324,1,9.765625e-05
01011100010100010100,13,"[2, 0, 1, 3]",104,3.5293102264404297,True,6.857311211438324,1,9.765625e-05
11110100110100110111,14,"[1, 0, 2, 3]",39,3.543376922607422,False,7.04449148179701,1,9.765625e-05
11110100110100110111,15,"[1, 0, 2, 3]",39,3.5555362701416016,True,7.04449148179701,1,9.765625e-05
