bitstring,energy,prob
110101111100,21.817921024601603,9.765625e-05
101111010101,21.909436005722952,9.765625e-05
110011101000,21.012863410953585,9.765625e-05
010010110011,11.343709070385508,9.765625e-05
101100110100,24.079073286508155,9.765625e-05
001101101111,12.654331279857967,9.765625e-05
011111011101,14.909436005722952,9.765625e-05
110010011010,14.226748768873371,9.765625e-05
001011111101,21.333068173051984,9.765625e-05
101110011110,16.914998816847984,9.765625e-05
100000010111,22.27340218226594,9.765625e-05
111010110001,42.72640604348025,9.765625e-05
100110110101,26.70111345892819,9.765625e-05
111111001101,12.318016911728506,9.765625e-05
000100101000,17.610835341332443,0.0001953125
111000010001,12.917260368883131,9.765625e-05
111110111110,25.767085447832443,9.765625e-05
111101100111,17.22142384439867,9.765625e-05
000100110110,10.960756307408655,9.765625e-05
010110101111,14.636527499989441,9.765625e-05
011101100100,15.175666353837997,9.765625e-05
100010101110,36.16182186924092,9.765625e-05
000110110000,18.75766101326228,9.765625e-05
101000001110,31.031008131515815,9.765625e-05
101111110011,34.363582628035374,9.765625e-05
011011011110,15.945769061713463,9.765625e-05
101010010110,28.36377440228918,9.765625e-05
000101000111,19.227644691705265,0.0001953125
110001000010,13.294739040945382,9.765625e-05
110110110110,18.75766101326228,9.765625e-05
011000101111,23.4266865881527,9.765625e-05
101110101111,37.40637441798282,9.765625e-05
100100101110,18.25865282322108,9.765625e-05
101000010010,19.565077850771768,9.765625e-05
110011000010,10.987418090562802,9.765625e-05
110110010110,12.732215692871499,9.765625e-05
100000100101,40.136129710583916,9.765625e-05
101100100111,29.71836225665853,9.765625e-05
010010010010,14.226748768873371,9.765625e-05
011011100110,20.420227854195772,9.765625e-05
001111000010,12.318016911728506,0.0001953125
010001100001,11.874566250762008,9.765625e-05
110010000101,22.29473904094538,9.765625e-05
000010110111,19.435224051506854,9.765625e-05
101111111111,24.546612590278073,9.765625e-05
100101111111,12.046708477404977,9.765625e-05
100110011001,14.425790665320811,9.765625e-05
000111010101,9.51174283531713,9.765625e-05
110101001010,21.09037222002324,9.765625e-05
101000101101,45.03953664325408,9.765625e-05
000111101101,15.389466560946182,9.765625e-05
001100100101,23.71836225665853,9.765625e-05
100000111100,18.409531892849856,9.765625e-05
111010000110,24.136129710583916,0.0001953125
100010110010,23.900011571152795,9.765625e-05
011110110101,24.3691454391604,9.765625e-05
111011110110,35.354158193465224,9.765625e-05
101001000101,23.223932234700033,9.765625e-05
101110100000,47.927709491962844,9.765625e-05
101000011001,15.610835341332443,0.0001953125
