bitstring,energy,prob
01010,2.031008131515815,0.01064453125
01100,6.136129710583916,0.01015625
10100,5.294739040945382,0.00361328125
10010,2.0,0.04140625
11110,7.136129710583916,0.00419921875
10011,5.0,0.0060546875
01110,3.1818872011445904,0.00244140625
00110,3.0906190582894566,0.033984375
00111,4.4885590669614945,0.00146484375
01111,1.2276446917052652,0.11513671875
01000,2.3831906496271777,0.06669921875
01001,2.031008131515815,0.00537109375
11111,3.1818872011445904,0.02548828125
01101,2.1818872011445904,0.01357421875
11100,13.09037222002324,0.00966796875
10110,2.6926790496174196,0.0126953125
10000,2.0,0.15830078125
11001,2.3831906496271777,0.012109375
11000,4.7353731677385404,0.03193359375
00100,2.692679049617419,0.131640625
00000,4.0,0.0111328125
11010,1.3831906496271777,0.02421875
00010,7.0,0.01064453125
11011,1.031008131515815,0.057421875
00011,12.0,0.00869140625
11101,7.136129710583916,0.0107421875
00001,7.0,0.01171875
10101,2.6926790496174196,0.0265625
01011,3.6788256134044524,0.044140625
00101,2.0906190582894566,0.03828125
10111,2.090619058289457,0.05986328125
