index,bitstring,cost,energy,probability
1,101100001001100010110101010,149,1281.0,0.0009765625
6,000011100001000010000010001,149,1961.75,0.0009765625
8,001110100001010000010010100,149,2001.75,0.0009765625
13,010000001001000011110010000,149,2242.0,0.0009765625
16,100111001001000010110001000,149,2242.0,0.0009765625
28,000111001001000111110100010,149,2282.0,0.0009765625
59,000111100001100011000000110,149,2682.25,0.0009765625
80,110010001001000011000111001,149,2802.5,0.0009765625
85,011010100001000010101010101,149,2802.5,0.0009765625
132,100100100001000011111011010,149,3363.0,0.0009765625
138,011100100001001010110001100,149,3403.0,0.0009765625
141,001101100001000111001000001,149,3403.0,0.0009765625
154,111000001001000011001001100,149,3643.25,0.0009765625
184,001000100001100001100000111,149,3803.25,0.0009765625
198,100110001001000010101011111,149,3923.5,0.0009765625
205,001000100001100000000100010,149,4083.5,0.0009765625
212,101001100001000000101101000,149,4203.75,0.0009765625
306,101001100001001000000011100,149,4804.25,0.0009765625
318,001101001001101001001000101,149,4964.25,0.0009765625
330,001101001001000001001010110,149,5044.5,0.0009765625
339,001110001001000000111111101,149,5044.5,0.0009765625
672,011100100001100100101110111,149,7766.75,0.0009765625
836,011001100001000011011011111,149,9808.75,0.0009765625
