iteration,energy,paramter,std
1,4.384486085496911,[0.5 0.5 0.5 0.5],0.10842795582021016
2,3.173996165055121,[2.5 0.5 0.5 0.5],0.10515537373466631
3,1.5106667425684919,[2.5 2.5 0.5 0.5],0.092779666226306
4,-0.6606764118873022,[2.5 2.5 2.5 0.5],0.08128275873700062
5,-0.4888154455738109,[2.5 2.5 2.5 2.5],0.07662478299142578
6,-0.22185414700365286,[3.30806162 3.61035428 3.94947846 0.38527434],0.08111059583439559
7,0.09352673515213222,[1.56394506 2.7135471  2.77876861 0.47793557],0.08185080372885606
8,-2.7939627828193614,[2.7369737  1.62422382 2.9192356  0.46681767],0.0683889850368418
9,-0.11920209334408564,[3.02393575 0.74199579 3.29033112 0.42663569],0.08251561293786215
10,2.5343495255242625,[2.56238892 1.38432757 2.5167807  0.46681767],0.10894905305867175
11,-0.6588061329405624,[3.13745906 1.92336193 3.78529874 0.45891162],0.07924340870303065
12,-2.523537228515953,[ 2.74776     1.63904524  2.90456915 -0.03263091],0.06694489273345361
13,-0.19590547131868286,[2.651902   0.70775075 2.55431816 0.60708589],0.08395471201283057
14,0.9535291600413075,[2.69443785 1.16598729 2.73677688 0.53695178],0.09758509515584834
15,-0.42408493352561455,[2.96788122 1.64144178 2.82533611 0.47507278],0.07362797337585221
16,2.55024169717269,[2.58030855 1.72373508 3.38349779 0.4705805 ],0.11066156565575291
17,-0.047446627301007904,[2.59335113 1.75679238 2.76362296 0.47591942],0.07755994773767608
18,-2.3400062491287326,[2.7064901  1.50465093 2.89938105 0.46485029],0.07154134691884573
19,-2.8647972056168314,[2.7361624  1.62286582 2.92247701 0.52921351],0.06916514022270001
20,-2.8419056052538254,[2.72359803 1.6286047  3.0467107  0.52965003],0.07193183121926018
21,-2.9157492992202814,[2.79816399 1.62003286 2.92818276 0.53384713],0.06659246368277132
22,-2.8099578830323457,[2.79965037 1.65121133 2.92689013 0.53461219],0.06567627407780213
23,-2.8470771772463825,[2.80811786 1.5610902  2.9286962  0.55208637],0.06822885976423694
24,-2.328795231820117,[2.80130234 1.61873607 2.89752947 0.52880656],0.06666815356263298
25,-3.3291290317459388,[2.79719886 1.61425039 2.98297336 0.50435354],0.0673877423650718
26,-3.1438179657509675,[2.79173056 1.60626912 3.02581894 0.54881591],0.07032862706495757
