index,bitstring,cost,energy,probability
0,010010100001101001,0,20.25,0.0009765625
7,000011001001011000,0,30.75,0.0009765625
15,010110100001110010,0,40.75,0.0009765625
28,000011100001010000,0,41.0,0.0009765625
40,000000100001010001,0,41.0,0.0009765625
43,010001100001100000,0,51.0,0.0009765625
57,010110001001110001,0,51.0,0.0009765625
69,000100100001001000,0,51.25,0.0009765625
80,000100100001011100,0,51.25,0.0009765625
103,000101001001111010,0,61.25,0.0009765625
120,000110100001100011,0,61.25,0.0009765625
152,001011100001101000,0,71.5,0.0009765625
162,000011100001111100,0,71.5,0.0009765625
222,111001100001100010,0,81.75,0.0009765625
271,110111100001100100,0,92.0,0.0009765625
371,110001001001110110,0,102.25,0.0009765625
434,011000001001101100,0,112.5,0.0009765625
480,111010001001011010,0,112.75,0.0009765625
487,001100001001011011,0,112.75,0.0009765625
556,101101100001111110,0,133.0,0.0009765625
567,110001100001110101,0,133.0,0.0009765625
579,010001001001011100,0,133.25,0.0009765625
588,111000100001000011,0,133.25,0.0019531250000000004
670,011010100001010111,0,153.75,0.0009765625
701,100101100001010010,0,164.0,0.0009765625
714,111000001001011111,0,164.0,0.0009765625
741,000111001001010001,0,174.25,0.0009765625
788,110110001001010011,0,194.75,0.0009765625
816,110100100001011011,0,205.0,0.0009765625
834,101111100001010110,0,215.25,0.0009765625
845,011100001001011111,0,215.25,0.0009765625
880,110011001001011101,0,235.75,0.0009765625
933,000111001001011011,0,276.75,0.0009765625
1018,110101100001011111,0,461.25,0.0009765625
