iteration,energy
1,2.481689453125
2,2.180419921875
3,1.885498046875
4,-11.66162109375
5,-1.0747070312500004
6,52.958984375
7,-15.11474609375
8,-10.654296875
9,-28.376220703125
10,58.53955078125
11,-14.85498046875
12,9.92626953125
13,38.922607421875
14,53.0361328125
15,116.596435546875
16,26.512207031250004
17,-9.5546875
18,-3.6220703124999996
19,-4.94970703125
20,-7.48876953125
21,-2.58349609375
22,-11.667236328125
23,-18.271484375
24,-21.866943359375
25,-26.491455078125
26,-24.288818359375
27,-22.9326171875
28,-24.62890625
29,-31.215576171875
30,-24.242919921875
