optimizer,opt_level,value_index,num_qubits,topology,strategy,sample,depth
Qiskit,2,0,18,Washington,predicates,7,154
Qiskit,2,0,18,Washington,predicates,8,164
Qiskit,2,0,18,Washington,predicates,9,147
Qiskit,2,0,18,Washington,predicates,10,168
Qiskit,2,0,18,Washington,predicates,11,170
Qiskit,2,0,18,Washington,predicates,12,173
Qiskit,2,0,18,Washington,predicates,13,156
Qiskit,2,0,18,Washington,predicates,14,159
Qiskit,2,0,18,Washington,predicates,15,188
Qiskit,2,0,18,Washington,predicates,16,151
Qiskit,2,0,18,Washington,predicates,17,152
Qiskit,2,0,18,Washington,predicates,18,163
Qiskit,2,0,18,Washington,predicates,19,159
Qiskit,2,0,18,Washington,precision,0,135
Qiskit,2,0,18,Washington,precision,1,163
Qiskit,2,0,18,Washington,precision,2,161
Qiskit,2,0,18,Washington,precision,3,146
Qiskit,2,0,18,Washington,precision,4,149
Qiskit,2,0,18,Washington,precision,5,137
Qiskit,2,0,18,Washington,precision,6,162
Qiskit,2,0,18,Washington,precision,7,142
Qiskit,2,0,18,Washington,precision,8,176
Qiskit,2,0,18,Washington,precision,9,164
Qiskit,2,0,18,Washington,precision,10,188
Qiskit,2,0,18,Washington,precision,11,148
Qiskit,2,0,18,Washington,precision,12,151
Qiskit,2,0,18,Washington,precision,13,177
Qiskit,2,0,18,Washington,precision,14,161
Qiskit,2,0,18,Washington,precision,15,158
Qiskit,2,0,18,Washington,precision,16,143
Qiskit,2,0,18,Washington,precision,17,172
Qiskit,2,0,18,Washington,precision,18,152
Qiskit,2,0,18,Washington,precision,19,139
Qiskit,3,0,18,Auckland,predicates,0,156
Qiskit,3,0,18,Auckland,predicates,1,149
Qiskit,3,0,18,Auckland,predicates,2,184
Qiskit,3,0,18,Auckland,predicates,3,145
Qiskit,3,0,18,Auckland,predicates,4,150
Qiskit,3,0,18,Auckland,predicates,5,170
Qiskit,3,0,18,Auckland,predicates,6,138
Qiskit,3,0,18,Auckland,predicates,7,164
Qiskit,3,0,18,Auckland,predicates,8,139
Qiskit,3,0,18,Auckland,predicates,9,157
Qiskit,3,0,18,Auckland,predicates,10,151
Qiskit,3,0,18,Auckland,predicates,11,137
Qiskit,3,0,18,Auckland,predicates,12,147
Qiskit,3,0,18,Auckland,predicates,13,154
Qiskit,3,0,18,Auckland,predicates,14,151
Qiskit,3,0,18,Auckland,predicates,15,157
Qiskit,3,0,18,Auckland,predicates,16,146
Qiskit,3,0,18,Auckland,predicates,17,173
Qiskit,3,0,18,Auckland,predicates,18,176
Qiskit,3,0,18,Auckland,predicates,19,136
Qiskit,3,0,18,Auckland,precision,0,160
Qiskit,3,0,18,Auckland,precision,1,153
Qiskit,3,0,18,Auckland,precision,2,153
Qiskit,3,0,18,Auckland,precision,3,147
Qiskit,3,0,18,Auckland,precision,4,158
Qiskit,3,0,18,Auckland,precision,5,178
Qiskit,3,0,18,Auckland,precision,6,146
Qiskit,3,0,18,Auckland,precision,7,152
Qiskit,3,0,18,Auckland,precision,8,157
Qiskit,3,0,18,Auckland,precision,9,143
Qiskit,3,0,18,Auckland,precision,10,172
Qiskit,3,0,18,Auckland,precision,11,151
Qiskit,3,0,18,Auckland,precision,12,161
Qiskit,3,0,18,Auckland,precision,13,194
Qiskit,3,0,18,Auckland,precision,14,125
Qiskit,3,0,18,Auckland,precision,15,144
Qiskit,3,0,18,Auckland,precision,16,144
Qiskit,3,0,18,Auckland,precision,17,153
Qiskit,3,0,18,Auckland,precision,18,159
Qiskit,3,0,18,Auckland,precision,19,153
Qiskit,3,0,18,Washington,predicates,0,158
Qiskit,3,0,18,Washington,predicates,1,190
