iteration,energy
1,-9.003662109375
2,-7.275146484375
3,3.6005859375000004
4,4.52880859375
5,5.577392578125
6,4.221435546875
7,6.014404296875
8,5.21484375
9,4.692138671875
10,4.150146484375
11,1.716796875
12,9.921142578125
13,-4.10986328125
14,-7.744873046875
15,-4.003173828125
16,0.243408203125
17,-6.783203124999999
18,-4.70947265625
19,-0.97509765625
20,-3.151123046875
21,4.510986328125
22,4.537353515625
23,3.8984375
24,7.313720703125
25,-3.93896484375
26,-9.84130859375
27,4.022705078125
28,4.636474609374999
29,4.515869140625
30,3.826416015625
31,-6.552001953125
32,-10.8232421875
33,5.724609375000001
34,2.6611328124999996
35,8.22265625
36,3.9287109375000004
37,1.06640625
38,2.96728515625
39,0.64208984375
40,6.160888671875
41,6.30322265625
42,4.943603515625
43,-4.52392578125
44,-8.2578125
45,-7.727294921875
46,-4.85107421875
47,-0.32763671875
48,2.99853515625
49,-1.6196289062499998
50,-1.627197265625
51,4.768798828125
52,6.772705078125
53,-9.105712890625
54,119.833740234375
55,19.364013671875
