iteration,energy
1,-4.78271484375
2,-4.769287109374999
3,15.40087890625
4,-7.284912109374999
5,4.756103515625
6,114.230224609375
7,41.86083984375
8,-61.796142578125
9,-13.916015625
10,-51.54833984375
11,55.25195312500001
12,-11.50341796875
13,-10.771728515625002
14,-20.460205078125
15,-50.287109375
16,-3.5522460937500004
17,37.03564453125001
18,36.131103515625
19,-9.853759765625
20,-22.142822265625004
21,-50.0341796875
22,-43.57568359375001
23,8.822998046875
24,-29.764892578125
25,-35.625732421875
26,-50.131591796875
27,-28.470947265625004
28,-61.107177734375
29,-58.39404296875
30,-64.476318359375
31,-46.68872070312499
32,-55.7724609375
33,-42.158935546875
34,-67.979248046875
35,-56.58544921875
36,-41.749755859375
37,-61.086669921875
38,-64.91748046875
39,-57.674560546875
40,-56.958251953125
41,-53.93994140625
42,-54.875244140625
43,-54.388427734375
44,-59.53125
