bitstring,energy,prob
01111101101010010100,24.172508144549887,9.765625e-05
01111111100000000100,36.37993550293382,9.765625e-05
01111100110100010100,7.346519362965495,9.765625e-05
01100111110100000011,17.498486227646993,9.765625e-05
01110110011101011011,12.452641817813305,9.765625e-05
11000010110100101110,27.309472472359936,9.765625e-05
10111100110000010101,20.445602182943855,9.765625e-05
10000010011110100100,46.73501900943707,9.765625e-05
00101001101000110110,22.630598047376246,9.765625e-05
01100100000010100000,19.3599030928071,9.765625e-05
01110100111100011001,12.02062927649757,9.765625e-05
11111001111100100110,10.074915278796507,9.765625e-05
01110111001000110101,26.690584665220968,9.765625e-05
00100010100011001010,34.64240378749467,9.765625e-05
01010011010101000000,10.230689426491974,9.765625e-05
11110001011110011001,16.207453402113497,9.765625e-05
00000001000011000111,32.74069373868451,9.765625e-05
00100011110101011011,37.13955903340639,9.765625e-05
11001001010010001010,15.757596263212921,9.765625e-05
00101100011101010011,26.795548980667206,9.765625e-05
01010010010110101010,20.228761839136116,9.765625e-05
00101001000010000111,23.911766905894623,9.765625e-05
01101011010000110110,25.724101187038137,9.765625e-05
01101011011011000000,20.37655442554056,9.765625e-05
00000011100000111011,32.931886480262435,9.765625e-05
11001011010001100100,21.85251462674622,9.765625e-05
00011101010100101111,17.145748727397443,9.765625e-05
10101111010101101000,38.41681656504811,9.765625e-05
01101101010001100110,13.268747787999317,9.765625e-05
01101010100100001000,31.130155701543533,9.765625e-05
10111011010000111011,39.336471849731204,9.765625e-05
10100000011000001000,32.38319064962718,9.765625e-05
11001100100100000011,13.069615233567998,9.765625e-05
01001101110001010001,12.7654261443852,9.765625e-05
01110011110011100100,13.88275291272144,9.765625e-05
01001111010001111100,12.745072127810667,9.765625e-05
00110010100000001010,18.660845077827297,9.765625e-05
10100101010110011111,27.30273310710274,9.765625e-05
01011100000110010001,9.264048015757245,9.765625e-05
00011000000100100110,22.495097755016836,9.765625e-05
10101000110101010001,60.21103343691504,9.765625e-05
11101101001101010001,19.468209844817814,9.765625e-05
00110111100001000110,17.847791727527532,9.765625e-05
11010110010100111111,13.157096483331586,9.765625e-05
00001010010100000101,50.65473623617997,9.765625e-05
00001010000100101010,35.938243069261105,9.765625e-05
01111111000111110000,26.320241498917056,9.765625e-05
00110000000011001110,28.14101941727337,9.765625e-05
01100111011011000100,13.867866011047091,9.765625e-05
01001101111101010000,13.50015991359502,9.765625e-05
11001100101010110110,14.858852698104904,9.765625e-05
10101100001011110101,29.470038018874142,9.765625e-05
00101100101111001100,26.051310615648752,9.765625e-05
01101101111100000100,11.767341237714545,9.765625e-05
11000101011101010001,12.967677048141281,9.765625e-05
