# best_solutions_for_time
bitstring,rank,join_order,cost,time_ms,used_fallback,energy,count,probability
11110100111100,0,"[1, 0, 2, 3]",75,4.213571548461914,False,5.389466560946184,4,0.000390625

# all_solutions
bitstring,index,join_order,cost,time_ms,used_fallback,energy,count,probability
11110100111100,0,"[1, 0, 2, 3]",75,4.213571548461914,False,5.389466560946184,4,0.000390625
11110100111100,1,"[1, 0, 2, 3]",75,4.248142242431641,True,5.389466560946184,4,0.000390625
11110100111100,2,"[1, 0, 2, 3]",75,4.276037216186523,False,5.389466560946184,4,0.000390625
11110100111100,3,"[1, 0, 2, 3]",75,4.291772842407227,True,5.389466560946184,4,0.000390625
11110100111100,4,"[1, 0, 2, 3]",75,4.312753677368164,False,5.389466560946184,4,0.000390625
11110100111100,5,"[1, 0, 2, 3]",75,4.3277740478515625,True,5.389466560946184,4,0.000390625
11110100111100,6,"[1, 0, 2, 3]",75,4.3487548828125,False,5.389466560946184,4,0.000390625
11110100111100,7,"[1, 0, 2, 3]",75,4.362583160400391,True,5.389466560946184,4,0.000390625
11110000111000,8,"[1, 0, 3, 2]",465,4.383325576782227,False,5.610835341332443,3,0.00029296874999999993
11110000111000,9,"[1, 0, 2, 3]",75,4.397869110107422,True,5.610835341332443,3,0.00029296874999999993
11110000111000,10,"[1, 0, 3, 2]",465,4.416704177856445,False,5.610835341332443,3,0.00029296874999999993
11110000111000,11,"[1, 0, 2, 3]",75,4.430294036865234,True,5.610835341332443,3,0.00029296874999999993
11110000111000,12,"[1, 0, 3, 2]",465,4.448890686035156,False,5.610835341332443,3,0.00029296874999999993
11110000111000,13,"[1, 0, 2, 3]",75,4.4689178466796875,True,5.610835341332443,3,0.00029296874999999993
11110100111101,14,"[1, 0, 2, 3]",75,4.504919052124023,False,5.803353753773598,6,0.0005859375000000001
11110100111101,15,"[1, 0, 2, 3]",75,4.5185089111328125,True,5.803353753773598,6,0.0005859375000000001
11110100111101,16,"[1, 0, 2, 3]",75,4.537343978881836,False,5.803353753773598,6,0.0005859375000000001
11110100111101,17,"[1, 0, 2, 3]",75,4.551887512207031,True,5.803353753773598,6,0.0005859375000000001
11110100111101,18,"[1, 0, 2, 3]",75,4.571437835693359,False,5.803353753773598,6,0.0005859375000000001
11110100111101,19,"[1, 0, 2, 3]",75,4.585504531860352,True,5.803353753773598,6,0.0005859375000000001
11110100111101,20,"[1, 0, 2, 3]",75,4.604816436767578,False,5.803353753773598,6,0.0005859375000000001
11110100111101,21,"[1, 0, 2, 3]",75,4.619121551513672,True,5.803353753773598,6,0.0005859375000000001
11110100111101,22,"[1, 0, 2, 3]",75,4.637956619262695,False,5.803353753773598,6,0.0005859375000000001
11110100111101,23,"[1, 0, 2, 3]",75,4.6520233154296875,True,5.803353753773598,6,0.0005859375000000001
11110100111101,24,"[1, 0, 2, 3]",75,4.670858383178711,False,5.803353753773598,6,0.0005859375000000001
