iteration,energy
1,74.758056640625
2,141.1875
3,81.530517578125
4,-47.79345703125
5,36.055419921875
6,88.15380859375
7,27.2119140625
8,-97.18188476562501
9,-41.53369140625
10,-174.791015625
11,319.233154296875
12,-27.86181640625
13,931.669189453125
14,44.408447265625
15,286.78955078125
16,-133.888671875
17,-214.51416015625
18,502.273193359375
19,1162.167724609375
20,1342.523193359375
21,-779.4719238281249
22,-810.634033203125
23,-1134.671142578125
24,1422.20166015625
25,-671.051025390625
26,3214.270263671875
27,1052.087646484375
28,4172.577392578125
29,-1506.189697265625
30,418.54785156250006
31,-582.859375
32,-605.442138671875
33,-1771.398681640625
34,379.587158203125
35,-158.73242187499997
36,319.690185546875
37,669.154296875
38,-956.5068359374999
39,-984.8198242187501
40,68.745849609375
41,1485.8530273437498
42,-1155.084716796875
43,-962.13525390625
44,-306.3037109375
45,998.31103515625
46,1067.085205078125
47,-974.52392578125
48,-1129.55908203125
49,-129.0166015625
50,587.26318359375
51,-916.757568359375
52,-1030.966796875
53,1441.14501953125
54,1467.61767578125
55,-374.855712890625
56,934.649169921875
57,997.480712890625
58,-381.024658203125
59,-388.4443359375
60,1008.7309570312499
61,982.91650390625
62,1008.02880859375
63,-313.065185546875
64,-219.708251953125
65,393.952880859375
66,563.76025390625
67,379.343017578125
68,-236.69409179687497
69,443.054443359375
70,594.442626953125
71,-417.77490234375
72,-267.95751953125
73,-223.18798828125
74,-54.02124023437499
75,1636.4697265625
76,-107.46728515625
77,283.92626953125
78,-92.34130859375
79,1332.50439453125
80,-438.498291015625
81,548.094970703125
82,-277.68310546875
83,-149.667236328125
84,-40.364013671875
85,-272.922607421875
86,-2896.149169921875
87,-176.895263671875
88,280.513427734375
89,-321.2626953125
90,222.9736328125
91,294.80078125
92,-787.960693359375
93,-634.2658691406251
94,19.059326171875
95,281.4677734375
96,-702.7978515625
97,-806.06591796875
98,68.840576171875
99,382.681396484375
100,1058.98974609375
101,-581.53564453125
102,391.917236328125
103,3432.42578125
104,-1432.427978515625
105,-518.684814453125
106,225.35009765625
107,319.887451171875
108,-520.428466796875
109,1055.125732421875
110,121.8154296875
111,-1253.832763671875
112,2285.4384765625
113,287.659423828125
114,82.69091796875
115,-1117.844970703125
116,-913.6630859375
117,663.427001953125
118,109.62744140624999
119,-447.060302734375
120,61.383544921875
121,410.206298828125
122,-459.376953125
123,-383.9423828125
124,40.386962890625
125,-740.501708984375
126,598.86865234375
127,129.898681640625
128,-1150.517333984375
129,176.611328125
130,-115.9248046875
131,849.36572265625
132,-1046.152587890625
133,95.835205078125
134,-55.160888671875
135,2429.611328125
136,520.09228515625
137,-704.9150390625
138,-443.523193359375
139,-57.44580078125
140,-130.22119140625
141,-819.467529296875
142,-666.638671875
143,-30.7763671875
144,371.578125
145,1299.5380859375002
146,-300.891845703125
147,-163.66503906250003
148,-322.25390625
149,1356.997314453125
150,-360.547119140625
151,-178.21655273437497
152,665.6357421875
153,1630.408447265625
154,42.831787109375
155,-56.69189453125001
156,-137.224853515625
157,1222.365966796875
158,155.188720703125
159,-295.16040039062494
160,-266.37158203125
161,-142.625
162,650.25341796875
163,-78.4140625
164,736.26318359375
165,592.4655761718749
166,526.19873046875
167,-521.59423828125
168,744.980224609375
169,588.1962890625
170,-180.09326171874997
171,-812.033935546875
172,-375.875732421875
173,777.29248046875
174,940.32861328125
175,-461.62109375
176,-236.20458984375
177,845.248046875
178,1008.816162109375
179,1525.474365234375
180,-428.165771484375
181,-468.063232421875
182,295.2001953125
183,380.252685546875
184,517.9931640625
185,37.17431640624999
186,336.70214843749994
187,411.960205078125
188,-475.683837890625
189,-662.1833496093749
190,633.408935546875
191,-986.891357421875
192,-1097.70458984375
193,-134.79443359375
194,-791.210693359375
195,-1076.591552734375
196,-968.160888671875
197,-508.69677734375
198,308.11474609375
199,496.53857421875
200,-372.552734375
201,-41.11181640624999
202,875.115234375
203,359.335205078125
204,-433.645263671875
205,38.079833984375
206,1721.893798828125
207,939.7060546875
208,-102.85668945312503
209,5587.242431640625
210,6121.571533203125
211,590.7216796875
212,-111.408935546875
213,5895.941650390625
214,6407.3251953125
215,607.9091796875
216,-118.112548828125
217,-885.42822265625
218,1358.736328125
219,2181.445068359375
220,-1187.812744140625
221,1386.5771484375
222,1330.569580078125
223,2084.285400390625
224,33.527587890625
225,1067.774169921875
226,-44.42822265625
227,409.2734375
228,-3.072021484375
229,-1290.674072265625
230,1612.0180664062502
231,364.414794921875
232,46.7939453125
233,-536.69580078125
234,56.07568359375001
235,-305.933837890625
236,-283.99853515625
237,1269.338623046875
238,1027.26513671875
239,843.51416015625
240,-171.334716796875
241,1142.705322265625
242,402.58251953125
243,-679.55029296875
244,-86.11450195312501
245,-226.495849609375
246,132.047607421875
247,32.840087890625
248,191.93701171875
249,-9.240478515625002
250,122.677978515625
251,360.27587890625
252,-685.5732421875
253,-277.5302734375
254,3906.8466796875
255,4363.72509765625
256,877.3994140625
257,874.040283203125
258,3716.979248046875
259,4473.278564453125
260,230.1923828125
261,186.444580078125
262,82.767578125
263,24.957275390625
264,-54.750732421875
265,39.537841796875
266,572.557373046875
267,39.73046875
268,-73.802734375
269,-135.58935546875
270,72.28369140625
