index,bitstring,cost,energy,probability
0,000100001001001001000,0,500.5,0.0009765625
1,000100001001101001000,0,670.5,0.0009765625
4,001101100001001000000,0,750.75,0.0009765625
5,000101001001001000000,0,750.75,0.0009765625
8,111100100001000100000,0,750.75,0.0009765625
21,000100001001101101000,0,920.75,0.0009765625
27,010001100001000000000,0,1001.0,0.0009765625
28,000100001001000000000,0,1001.0,0.0009765625
38,000110100001001101010,0,1001.0,0.0009765625
51,000100001001100010010,0,1171.0,0.0009765625
75,110100100001000101010,0,1251.25,0.0009765625
93,001010100001011000101,0,1331.25,0.0009765625
103,110000100001101010010,0,1421.25,0.0009765625
129,010000100001001010000,0,1501.5,0.0009765625
137,110100100001000000100,0,1501.5,0.0009765625
157,100000100001000100110,0,1501.5,0.0009765625
185,010000100001101010000,0,1671.5,0.0009765625
206,001000001001100100110,0,1671.5,0.0009765625
209,000010001001100001110,0,1671.5,0.0009765625
216,001000001001100000101,0,1671.5,0.0009765625
219,001000001001101010101,0,1671.5,0.0009765625
221,100000001001100010111,0,1671.5,0.0009765625
270,010001100001101110000,0,1921.75,0.0009765625
276,000001001001100100100,0,1921.75,0.0009765625
290,100000100001101001110,0,1921.75,0.0009765625
295,001001100001100001001,0,1921.75,0.0009765625
306,000110100001111110000,0,2001.75,0.0009765625
329,000011001001000110100,0,2002.0,0.0009765625
349,100010001001000001110,0,2002.0,0.0009765625
358,011000001001000110001,0,2002.0,0.0009765625
369,011010100001011010000,0,2082.0,0.0009765625
416,001110100001101000111,0,2172.0,0.0009765625
428,011011001001001101000,0,2252.25,0.0009765625
445,100010100001000101010,0,2252.25,0.0009765625
452,100010100001001010110,0,2252.25,0.0009765625
573,100100100001100110000,0,2672.5,0.0009765625
585,011001001001101101010,0,2672.5,0.0009765625
589,110100100001101110110,0,2672.5,0.0009765625
637,100011100001001010110,0,2752.75,0.0009765625
654,001001100001000000011,0,2752.75,0.0009765625
656,101100100001001111011,0,2752.75,0.0009765625
711,101000001001001000010,0,3003.0,0.0009765625
732,100000100001010010010,0,3083.0,0.0009765625
902,110001100001101001011,0,3923.75,0.0009765625
904,100010100001000000000,0,4004.0,0.0009765625
915,011000001001011011111,0,4084.0,0.0009765625
962,101010001001000100000,0,4754.75,0.0009765625
1015,011111001001001100111,0,7757.75,0.0009765625
