# best_solutions_for_time
bitstring,rank,join_order,cost,time_ms,used_fallback,energy,count,probability
11111100010000001111,0,"[2, 1, 0, 3]",84,3.348827362060547,False,18.546612590278077,1,9.765625e-05
11111000111010001010,1,"[1, 0, 2, 3]",39,3.696918487548828,False,11.919591269054802,1,9.765625e-05

# all_solutions
bitstring,index,join_order,cost,time_ms,used_fallback,energy,count,probability
11111100010000001111,0,"[2, 1, 0, 3]",84,3.348827362060547,False,18.546612590278077,1,9.765625e-05
11111100010000001111,1,"[2, 0, 1, 3]",104,3.3812522888183594,True,18.546612590278077,1,9.765625e-05
00111110100111101010,2,"[2, 1, 3, 0]",600,3.4105777740478516,False,17.857455289928424,1,9.765625e-05
00111110100111101010,3,"[2, 1, 3, 0]",600,3.428220748901367,True,17.857455289928424,1,9.765625e-05
11111111111010001010,4,"[3, 2, 1, 0]",720,3.4520626068115234,False,30.51799042294634,1,9.765625e-05
11111111111010001010,5,"[3, 0, 1, 2]",375,3.4699440002441406,True,30.51799042294634,1,9.765625e-05
11011000000001001100,6,"[0, 2, 1, 3]",104,3.489255905151367,False,17.828397562285986,1,9.765625e-05
11011000000001001100,7,"[0, 2, 1, 3]",104,3.505706787109375,True,17.828397562285986,1,9.765625e-05
01010110100101101101,8,"[3, 2, 1, 0]",720,3.5240650177001953,False,21.0504050067799,1,9.765625e-05
01010110100101101101,9,"[3, 0, 1, 2]",375,3.539562225341797,True,21.0504050067799,1,9.765625e-05
00011000010110101101,10,"[2, 1, 3, 0]",600,3.5576820373535156,False,31.099878398789414,1,9.765625e-05
00011000010110101101,11,"[2, 1, 0, 3]",84,3.572702407836914,True,31.099878398789414,1,9.765625e-05
10011000100011001001,12,"[2, 0, 1, 3]",104,3.590822219848633,False,24.413719388734677,1,9.765625e-05
10011000100011001001,13,"[2, 0, 1, 3]",104,3.6058425903320312,True,24.413719388734677,1,9.765625e-05
01011111101001100001,14,"[3, 2, 1, 0]",720,3.62396240234375,False,28.18410628116088,1,9.765625e-05
01011111101001100001,15,"[3, 2, 0, 1]",540,3.641366958618164,True,28.18410628116088,1,9.765625e-05
11010011111100000101,16,"[3, 0, 1, 2]",375,3.6602020263671875,False,12.654321593821017,1,9.765625e-05
11010011111100000101,17,"[3, 0, 1, 2]",375,3.675699234008789,True,12.654321593821017,1,9.765625e-05
11111000111010001010,18,"[1, 0, 2, 3]",39,3.696918487548828,False,11.919591269054802,1,9.765625e-05
11111000111010001010,19,"[1, 0, 2, 3]",39,3.713369369506836,True,11.919591269054802,1,9.765625e-05
00010100101011000101,20,"[2, 1, 3, 0]",600,3.7322044372558594,False,34.985414091519154,1,9.765625e-05
00010100101011000101,21,"[2, 1, 0, 3]",84,3.748178482055664,True,34.985414091519154,1,9.765625e-05
