cumulative_iters,input_i,best_join_order,best_cost,valid_ratio,optimal_ratio
10,0,"[0, 1, 2]",10,0.2588,0.0869,"[-0.27342746742243923, -0.23077364874093367, 0.020439892297062445, 1.0001480935790346]"
20,0,"[2, 1, 0]",10,0.1172,0.0361,"[-0.4860635535718181, -0.35472274849893115, -0.02340323271285484, 2.000692084039148]"
30,0,"[2, 1, 0]",10,0.1650,0.0566,"[0.574379960800408, -0.3162735128837755, 0.21532873732461855, 1.9813198272534338]"
40,0,"[1, 2, 0]",10,0.1611,0.0527,"[0.5508937573930981, -0.2663376445544659, 1.284254882468844, 2.2152086765371597]"
50,0,"[1, 2, 0]",10,0.1055,0.0439,"[1.5279920869086694, 0.7225492730502198, 2.0356225363313474, 2.209380354063106]"
60,0,"[0, 1, 2]",10,0.0430,0.0127,"[1.4686991998027459, 0.7002274197907046, 2.031438028612217, 2.96757758670745]"
70,0,"[0, 2, 1]",10,0.0957,0.0293,"[0.45075418708790216, 0.8900772577952207, 1.947684128149982, 2.2816694722604267]"
80,0,"[0, 2, 1]",10,0.1162,0.0381,"[0.39056622405219005, 1.3857385985986057, 3.074927817058562, 2.2702113759290614]"
90,0,"[0, 2, 1]",10,0.2100,0.0674,"[1.4680992713904457, 1.5866600572898435, 2.94799471356693, 3.2728911605867665]"
100,0,"[2, 0, 1]",10,0.1172,0.0479,"[3.006392924007179, 0.7648478255894697, 2.372874506403723, 4.2842554878730335]"
