bitstring,energy,prob
010011011011,16.206683436969698,9.765625e-05
001100100101,23.71836225665853,9.765625e-05
111101110010,37.584055485589744,9.765625e-05
001100001111,23.357651226808905,9.765625e-05
100111101100,21.900011571152795,9.765625e-05
001000110011,16.960756307408655,9.765625e-05
000110010110,12.823730673992848,9.765625e-05
111100011011,13.070544774769893,9.765625e-05
011001110000,23.313963514029567,9.765625e-05
001111100111,18.955193496283627,9.765625e-05
111000101010,19.733111615703393,9.765625e-05
000011100001,19.80874342829766,9.765625e-05
110001010010,20.274426870775493,0.0001953125
100011101000,25.410803419625623,9.765625e-05
001111111100,23.455097609156724,9.765625e-05
001010110001,31.863678515162277,9.765625e-05
111000100100,29.34596167080477,9.765625e-05
110111110000,42.81894571311116,9.765625e-05
100110001010,17.473809707916637,9.765625e-05
000110111111,13.032205956626328,9.765625e-05
001110100011,26.758556936094173,9.765625e-05
001111101111,16.046708477404977,9.765625e-05
111001010111,12.545012518868091,9.765625e-05
111010110011,33.8179210246016,9.765625e-05
010111011000,32.63513790062512,9.765625e-05
101110100101,53.22334445574012,9.765625e-05
001111110001,26.363582628035374,9.765625e-05
001110111011,16.552175401403098,9.765625e-05
101100001001,15.414198781142993,9.765625e-05
000000011100,25.227644691705265,9.765625e-05
100000110011,16.409531892849856,9.765625e-05
110110010111,10.425790665320811,9.765625e-05
100110001111,22.76944467169391,9.765625e-05
101101011111,11.850071917215523,9.765625e-05
001100101010,15.80987723777988,9.765625e-05
110100101000,12.917260368883131,0.0001953125
011001101110,14.119365637770123,9.765625e-05
001010010101,24.409531892849856,9.765625e-05
011010100101,38.63603382345701,9.765625e-05
011000111000,14.869241326287305,9.765625e-05
001011001111,20.716203758666758,9.765625e-05
111011110100,44.262643212343875,9.765625e-05
001100010101,9.80987723777988,9.765625e-05
110000101111,21.227644691705265,9.765625e-05
110111101110,15.29795157982484,9.765625e-05
011011100111,20.81816786286781,0.0001953125
001001001110,22.76944467169391,9.765625e-05
011110001110,9.610835341332443,0.0001953125
101000101011,35.73311161570339,9.765625e-05
010001010000,22.274426870775493,9.765625e-05
111100011101,6.116302265330567,9.765625e-05
101101000001,12.917260368883131,9.765625e-05
101110110001,43.277630458039056,9.765625e-05
010011100100,15.410803419625623,9.765625e-05
010000110010,12.363774402289181,0.0001953125
111101100000,29.43633389082801,9.765625e-05
111101111000,35.584055485589744,0.0001953125
100011111000,23.43624874001641,9.765625e-05
011110111010,23.165025456504473,9.765625e-05
011111011000,30.726406043480253,9.765625e-05
110010110010,19.85425408059212,9.765625e-05
011100011100,11.070544774769893,9.765625e-05
110110000011,13.075869699244599,9.765625e-05
100110101111,27.840647482645366,9.765625e-05
101010000011,39.136129710583916,9.765625e-05
100010010101,23.56814122321132,9.765625e-05
100011100111,28.206683436969698,9.765625e-05
110101110010,30.726406043480253,0.0001953125
000110111101,15.588508457393615,9.765625e-05
110011100111,17.80874342829766,9.765625e-05
001101000011,12.212895332660406,9.765625e-05
000001101111,24.761961249227433,9.765625e-05
101111101011,26.909436005722952,0.0001953125
001001000011,18.121627189805274,0.0001953125
010110001111,16.519567198477308,9.765625e-05
011100111011,13.46622323140678,9.765625e-05
001100011110,15.411937229107842,9.765625e-05
100101001111,17.227644691705265,9.765625e-05
001111000111,10.409531892849856,9.765625e-05
101000011111,22.304410313781755,0.00029296875
100000100110,31.18188720114459,9.765625e-05
000110011001,14.823730673992848,0.0001953125
010101101111,14.45528938341053,9.765625e-05
011001101111,14.51730564644216,9.765625e-05
111100101000,17.774909810992618,0.0001953125
001101001000,12.16713784209973,0.000390625
011011011000,20.456314071920076,9.765625e-05
000011000100,15.783298107906877,9.765625e-05
111100011100,8.422727292881255,0.0001953125
001000111010,16.608573789297292,9.765625e-05
100100010100,11.73311161570339,9.765625e-05
