index,bitstring,energy,prob
0,110001000110100000,10.0,0.0009765625
1,001100000001010000,10.25,0.0009765625
2,010000100001001000,10.25,0.0009765625
3,110000100001001000,10.25,0.0009765625
4,110000001001001000,10.25,0.0009765625
5,110000100100000100,10.25,0.0009765625
6,110000001100000100,10.25,0.0009765625
7,010011100100110000,20.25,0.0009765625
8,110001000110110000,20.25,0.0009765625
9,001101000110110000,20.25,0.0009765625
10,000111011000101000,20.25,0.0009765625
11,010011100001101000,20.25,0.0009765625
12,000001000110110010,20.25,0.0009765625
13,110100011000100110,20.25,0.0009765625
14,000100001001110001,20.25,0.0009765625
15,110000100001101001,20.25,0.0009765625
16,100100011000100101,20.25,0.0009765625
17,000110011000100101,20.25,0.0009765625
18,010010100100100101,20.25,0.0009765625
19,110000000110100101,20.25,0.0009765625
20,000110011000000000,20.5,0.0009765625
21,110000000110000000,20.5,0.0009765625
22,001100000001000000,20.5,0.0019531250000000004
23,011000100001000000,20.5,0.0019531250000000004
24,001100010001000000,20.5,0.0009765625
25,000100011001000000,20.5,0.0009765625
26,000011010000001000,20.5,0.0009765625
27,000011110000001000,20.5,0.0009765625
28,001100100000010100,20.5,0.0009765625
29,000100001000010100,20.5,0.0019531250000000004
30,110000000100010100,20.5,0.0009765625
31,001100000100010100,20.5,0.0009765625
32,110000001100010100,20.5,0.0009765625
33,001100001100010100,20.5,0.0009765625
34,000110001001010100,20.5,0.0009765625
35,110000110000001100,20.5,0.0009765625
36,110000001000001100,20.5,0.0009765625
37,110000001100001100,20.5,0.0009765625
38,010010100001001100,20.5,0.0009765625
39,011000100001001010,20.5,0.0009765625
40,010010100001001010,20.5,0.0009765625
41,000000100001011010,20.5,0.0009765625
42,000010100001011010,20.5,0.0009765625
43,011000100100000110,20.5,0.0009765625
44,000010010000001110,20.5,0.0009765625
45,000000110000001110,20.5,0.0009765625
46,000000010010001110,20.5,0.0009765625
47,001101110000100000,30.5,0.0009765625
48,100101011000100000,30.5,0.0009765625
49,000111111000100000,30.5,0.0009765625
50,000111001100100000,30.5,0.0009765625
51,000111010010100000,30.5,0.0009765625
52,001101110010100000,30.5,0.0009765625
53,000111011010100000,30.5,0.0009765625
54,011001000110100000,30.5,0.0009765625
55,010011100001100000,30.5,0.0009765625
56,000011100100110000,30.5,0.0009765625
57,001001010010101000,30.5,0.0019531250000000004
58,000011010010101000,30.5,0.0009765625
59,011100100001101000,30.5,0.0009765625
60,110001000010111000,30.5,0.0009765625
61,001101000010111000,30.5,0.0009765625
62,110100001000100100,30.5,0.0009765625
63,000011010000100010,30.5,0.0009765625
64,111100000001100010,30.5,0.0009765625
65,000011100000111010,30.5,0.0009765625
66,000011100100111010,30.5,0.0009765625
67,100001000011111010,30.5,0.0009765625
68,001100010000100110,30.5,0.0009765625
69,110000000110100110,30.5,0.0009765625
70,000011110000101110,30.5,0.0019531250000000004
71,000110011000100001,30.5,0.0009765625
72,011000100100100001,30.5,0.0009765625
73,001100010010100001,30.5,0.0009765625
74,110000100001100001,30.5,0.0009765625
75,001100110001100001,30.5,0.0009765625
76,100100001001100001,30.5,0.0009765625
77,000100011001100001,30.5,0.0009765625
78,000011001100110001,30.5,0.0009765625
79,000011010000101001,30.5,0.0009765625
80,001100100001111001,30.5,0.0009765625
81,001100000010110101,30.5,0.0009765625
82,001100010010110101,30.5,0.0009765625
83,001100110000101101,30.5,0.0009765625
84,110000001000101101,30.5,0.0009765625
85,010010100100101101,30.5,0.0009765625
86,110000000110101101,30.5,0.0009765625
87,100000001001111011,30.5,0.0029296874999999996
88,011100100000000000,30.75,0.0009765625
89,000011000100000000,30.75,0.0009765625
90,100001010110000000,30.75,0.0009765625
91,111100001001000000,30.75,0.0009765625
92,011100100011000000,30.75,0.0009765625
93,110000000100010000,30.75,0.0009765625
94,001100001100010000,30.75,0.0009765625
95,010000100000001000,30.75,0.0009765625
96,110000010000001000,30.75,0.0009765625
97,110000001000001000,30.75,0.0009765625
98,001100011000001000,30.75,0.0009765625
99,001100000001001000,30.75,0.0009765625
100,110000110001001000,30.75,0.0009765625
101,110000100101001000,30.75,0.0009765625
102,010000000011001000,30.75,0.0009765625
103,110000100011001000,30.75,0.0009765625
104,000011000100011000,30.75,0.0009765625
105,100001000010011000,30.75,0.0009765625
106,000011000001011000,30.75,0.0009765625
107,010000110000000100,30.75,0.0009765625
108,110000110000000100,30.75,0.0009765625
109,000110110000000100,30.75,0.0009765625
110,001110011000000100,30.75,0.0009765625
111,111000000100000100,30.75,0.0009765625
112,110010000100000100,30.75,0.0009765625
113,000110001100000100,30.75,0.0009765625
114,100100010010000100,30.75,0.0009765625
115,000110001001000100,30.75,0.0009765625
116,110000100101000100,30.75,0.0009765625
117,000000001100010100,30.75,0.0019531250000000004
118,110000001000011100,30.75,0.0009765625
119,010010100001011100,30.75,0.0009765625
120,010000100001000010,30.75,0.0009765625
121,110000100101000010,30.75,0.0009765625
122,000010000001001010,30.75,0.0009765625
123,000000100001001010,30.75,0.0009765625
124,000000010001001010,30.75,0.0009765625
125,001000010110000110,30.75,0.0009765625
126,000100001100010110,30.75,0.0009765625
127,110000001000001110,30.75,0.0009765625
128,110000000010001110,30.75,0.0009765625
129,100000001000011110,30.75,0.0009765625
130,100000000100011110,30.75,0.0009765625
131,000000000001011110,30.75,0.0009765625
132,000010100001011001,30.75,0.0009765625
133,000010010000001101,30.75,0.0009765625
134,000000110000001101,30.75,0.0009765625
135,111100100001100000,40.75,0.0009765625
136,010111100001100000,40.75,0.0009765625
137,010110001001100000,40.75,0.0009765625
138,001111000000110000,40.75,0.0009765625
139,001101010000110000,40.75,0.0009765625
140,001101000100110000,40.75,0.0009765625
141,011001100100110000,40.75,0.0009765625
142,100101001100110000,40.75,0.0009765625
143,001101001100110000,40.75,0.0009765625
144,000101001010110000,40.75,0.0009765625
145,000101011010110000,40.75,0.0009765625
146,011001100110110000,40.75,0.0009765625
147,000111100001110000,40.75,0.0009765625
148,110001000011110000,40.75,0.0009765625
149,110001100000101000,40.75,0.0009765625
150,110011100000101000,40.75,0.0009765625
151,001101110000101000,40.75,0.0009765625
152,001111110000101000,40.75,0.0009765625
153,010011111000101000,40.75,0.0009765625
154,110001100100101000,40.75,0.0009765625
155,110011001100101000,40.75,0.0009765625
156,011001100001101000,40.75,0.0009765625
157,110001100011101000,40.75,0.0009765625
158,000011000100111000,40.75,0.0009765625
159,100001000010111000,40.75,0.0009765625
160,000011000110111000,40.75,0.0009765625
161,000011100001111000,40.75,0.0009765625
162,100001000011111000,40.75,0.0019531250000000004
163,100111011000100100,40.75,0.0009765625
164,010011000100100100,40.75,0.0009765625
165,110100001000110100,40.75,0.0009765625
166,000011110000101100,40.75,0.0009765625
167,110001000010111100,40.75,0.0009765625
168,100100001001100010,40.75,0.0009765625
169,001100000011100010,40.75,0.0009765625
170,000011001000110010,40.75,0.0009765625
171,001011000100110010,40.75,0.0009765625
172,001001000010110010,40.75,0.0009765625
173,110100000001110010,40.75,0.0009765625
174,000011100101110010,40.75,0.0009765625
175,001001010000101010,40.75,0.0009765625
176,001011110000101010,40.75,0.0009765625
177,110100011001101010,40.75,0.0009765625
178,110100000011101010,40.75,0.0009765625
179,001100000001111010,40.75,0.0009765625
180,100100001001111010,40.75,0.0009765625
181,010110110000100110,40.75,0.0009765625
182,010100101000100110,40.75,0.0009765625
183,010110101000100110,40.75,0.0009765625
184,000011010010100110,40.75,0.0009765625
185,110100000001100110,40.75,0.0009765625
186,010100101001100110,40.75,0.0009765625
187,000110001000110110,40.75,0.0009765625
188,000100001100110110,40.75,0.0009765625
189,010000100000101110,40.75,0.0009765625
190,010000110000101110,40.75,0.0009765625
