index,bitstring,cost,energy,probability
1,1100000010011110110,10,40.75,0.0009765625
3,1110001000011011010,10,51.0,0.0009765625
98,1011101000010100100,10,102.5,0.0009765625
132,1001011000011111100,10,122.75,0.0009765625
170,1001111000011000110,10,133.0,0.0009765625
190,1111011000011111100,10,143.25,0.0009765625
233,1110100010011110001,10,153.5,0.0009765625
247,0010111000010000010,10,153.75,0.0009765625
341,1001000010011110111,10,194.5,0.0009765625
344,1010101000010110001,10,194.75,0.0009765625
348,1001101000011011000,10,204.75,0.0009765625
354,0111011000011100110,10,204.75,0.0009765625
438,1000101000011010000,10,245.75,0.0009765625
609,0000011000010101001,10,338.25,0.0009765625
709,0111100010010010001,10,420.25,0.0009765625
958,1100011000010001011,10,902.0,0.0009765625
983,0111011000010110011,10,1066.0,0.0009765625
986,0110111000010100111,10,1076.25,0.0009765625
