index,bitstring,energy,probability
0,001100001001010000,10.25,0.0009765625
1,000011000110000000,20.5,0.0009765625
2,010000100001000000,20.5,0.0009765625
3,011000100001000000,20.5,0.0009765625
4,000011000000011000,20.5,0.0009765625
5,001100000000010100,20.5,0.0009765625
6,000100001000010100,20.5,0.0009765625
7,001100010010100100,30.5,0.0009765625
8,000000110000101101,30.5,0.0009765625
9,001100000000010000,30.75,0.0009765625
10,000100001000010000,30.75,0.0029296874999999996
11,001100001000010000,30.75,0.0009765625
12,000001000100010000,30.75,0.0009765625
13,101100001001010000,30.75,0.0009765625
14,001100011001010000,30.75,0.0009765625
15,000011000000001000,30.75,0.0009765625
16,000001010000001000,30.75,0.0009765625
17,000000000001011000,30.75,0.0009765625
18,000000010000001100,30.75,0.0009765625
19,000010010000001100,30.75,0.0009765625
20,000000000100000110,30.75,0.0009765625
21,000000000100010101,30.75,0.0009765625
22,010011000000101000,40.75,0.0009765625
23,110000000001100001,40.75,0.0009765625
24,000000000101110001,40.75,0.0009765625
25,110000100001101101,40.75,0.0009765625
26,110000000000000000,41.0,0.0019531250000000004
27,001100000000000000,41.0,0.0009765625
28,000011000000000000,41.0,0.0019531250000000004
29,010000100000000000,41.0,0.0029296874999999996
30,000001000010000000,41.0,0.0019531250000000004
31,010000000001000000,41.0,0.0009765625
32,000100010001000000,41.0,0.0009765625
33,000000000100010000,41.0,0.0009765625
34,000000000110010000,41.0,0.0009765625
35,000000000001010000,41.0,0.0019531250000000004
36,000000010000001000,41.0,0.0019531250000000004
37,000001010110011000,41.0,0.0009765625
38,000000100100000100,41.0,0.0009765625
39,000000000110000100,41.0,0.0009765625
40,000100000000010100,41.0,0.0009765625
41,010000000000001100,41.0,0.0009765625
42,110000100101001100,41.0,0.0009765625
43,000000000000011100,41.0,0.0019531250000000004
44,001000000001000010,41.0,0.0009765625
45,000010000000011010,41.0,0.0009765625
46,000000010000001001,41.0,0.0009765625
47,000000000001001001,41.0,0.0009765625
48,000010100100000101,41.0,0.0009765625
49,000000010000011101,41.0,0.0009765625
50,000000000001011101,41.0,0.0009765625
51,010001100000100000,51.0,0.0009765625
52,000001000010101000,51.0,0.0009765625
53,100001000100111010,51.0,0.0009765625
54,110100000000100110,51.0,0.0009765625
55,000011000111110001,51.0,0.0009765625
56,001100001001100101,51.0,0.0009765625
57,100000000000101101,51.0,0.0009765625
58,000010011001101101,51.0,0.0009765625
59,110001000000000000,51.25,0.0009765625
60,000010010000000000,51.25,0.0019531250000000004
61,011100111000000000,51.25,0.0009765625
62,000000000100000000,51.25,0.00390625
63,000010000100000000,51.25,0.0009765625
64,110100100100000000,51.25,0.0009765625
65,000000000110000000,51.25,0.0009765625
66,000000000001000000,51.25,0.0019531250000000004
67,000100000000010000,51.25,0.0019531250000000004
68,000001000000001000,51.25,0.0029296874999999996
69,000100010000001000,51.25,0.0009765625
70,110000010100001000,51.25,0.0009765625
71,101001000010001000,51.25,0.0009765625
72,010000010010001000,51.25,0.0009765625
73,000001010001001000,51.25,0.0019531250000000004
74,000000000000011000,51.25,0.0019531250000000004
75,000000010000011000,51.25,0.0009765625
76,000111000010011000,51.25,0.0009765625
77,000000000101011000,51.25,0.0009765625
78,000100000000000100,51.25,0.0019531250000000004
79,010000010000000100,51.25,0.0019531250000000004
80,000011000010000100,51.25,0.0009765625
81,000000000000010100,51.25,0.0019531250000000004
82,000000010000010100,51.25,0.0009765625
83,000000000001010100,51.25,0.0019531250000000004
84,000000000000001100,51.25,0.004882812500000001
85,110001000000001100,51.25,0.0009765625
86,010100100000001100,51.25,0.0009765625
87,000000010100001100,51.25,0.0009765625
88,000000000001001100,51.25,0.0009765625
89,000000100001001100,51.25,0.0009765625
90,000100100000011100,51.25,0.0009765625
91,010000000100011100,51.25,0.0009765625
92,010000100000000010,51.25,0.0009765625
93,000100010010000010,51.25,0.0009765625
94,000000000000001010,51.25,0.0019531250000000004
95,100000000000001010,51.25,0.0009765625
96,000001000000011010,51.25,0.0009765625
97,000001000001011010,51.25,0.0019531250000000004
98,001000000000000110,51.25,0.0009765625
99,000000100100000001,51.25,0.0009765625
100,000000000001000001,51.25,0.0009765625
101,001000000001000001,51.25,0.0009765625
102,000000000000011001,51.25,0.0029296874999999996
103,000000100000011001,51.25,0.0009765625
104,000000000100011001,51.25,0.0009765625
105,000000000010011001,51.25,0.0009765625
106,001000000101011001,51.25,0.0009765625
107,110000000100000101,51.25,0.0009765625
108,000000000000010101,51.25,0.0009765625
109,000000000000001101,51.25,0.0009765625
110,000000000001001101,51.25,0.0009765625
111,010101100000100000,61.25,0.0009765625
112,000101000000110000,61.25,0.0009765625
113,000101010000101000,61.25,0.0009765625
