index,bitstring,cost,energy,probability
6,000110100001010000,10,30.75,0.0009765625
14,011000100001100010,10,40.75,0.0009765625
15,010011100001100010,10,40.75,0.0009765625
29,010000001001000000,10,41.0,0.0009765625
35,010100001001000100,10,41.0,0.0009765625
39,000100001001001010,10,41.0,0.0009765625
47,010000100001100110,10,51.0,0.0009765625
50,000011001001110001,10,51.0,0.0009765625
55,011100100001100011,10,51.0,0.0019531250000000004
86,000100100001010110,10,51.25,0.0009765625
111,001110100001100011,10,61.25,0.0009765625
114,100110001001111011,10,61.25,0.0009765625
134,010011100001011000,10,61.5,0.0009765625
153,001000001001010110,10,61.5,0.0009765625
154,010010100001000001,10,61.5,0.0009765625
162,110101001001100010,10,71.5,0.0009765625
170,100100100001100001,10,71.5,0.0009765625
174,100000100001110001,10,71.5,0.0009765625
179,001010100001101001,10,71.5,0.0009765625
198,110100001001110111,10,71.5,0.0009765625
217,000011001001010100,10,71.75,0.0009765625
232,010001001001110000,10,81.75,0.0009765625
239,000000100001110010,10,81.75,0.0009765625
244,000100100001101110,10,81.75,0.0009765625
264,111100100001110011,10,81.75,0.0009765625
265,011110100001110011,10,81.75,0.0009765625
266,110110001001110011,10,81.75,0.0009765625
308,001110100001111000,10,92.0,0.0009765625
309,110010001001111000,10,92.0,0.0009765625
380,101101001001110110,10,102.25,0.0009765625
386,001111100001101001,10,102.25,0.0009765625
391,111110100001110101,10,102.25,0.0009765625
421,000011001001010110,10,102.5,0.0009765625
434,011001001001110010,10,112.5,0.0009765625
475,110011100001011100,10,112.75,0.0009765625
484,000011100001011001,10,112.75,0.0009765625
506,010011001001100101,10,122.75,0.0009765625
510,100101001001111101,10,122.75,0.0009765625
668,100101100001110101,10,153.5,0.0009765625
739,000101001001100111,10,174.0,0.0009765625
788,110111001001010010,10,194.75,0.0009765625
811,110101001001101011,10,204.75,0.0009765625
850,110110100001001011,10,215.25,0.0009765625
867,110101001001010110,10,225.5,0.0009765625
900,011001100001010101,10,246.0,0.0009765625
940,011011100001001011,10,287.0,0.0009765625
993,010101100001001011,10,420.25,0.0009765625
994,011101001001001011,10,420.25,0.0009765625
