iteration,energy
1,-4.02734375
2,-0.50927734375
3,0.405517578125
4,-0.79443359375
5,-2.563232421875
6,-0.7014160156249999
7,-2.693359375
8,2.39453125
9,-0.9150390625
10,1.9736328125
11,-1.440673828125
12,-4.424072265625
13,1.281005859375
14,4.742431640625001
15,1.4755859375
16,3.021728515625
17,9.197998046875
18,0.6140136718750001
19,6.333984375000001
20,2.319091796875
21,0.7897949218750001
22,2.64501953125
23,8.6904296875
24,-1.212890625
25,3.098876953125
26,5.991943359374999
