bitstring,energy,prob
0001,7.0,0.01357421875
1011,2.6926790496174196,0.007421875
1001,2.0,0.0453125
0010,2.692679049617419,0.11162109375
0110,6.136129710583916,0.0193359375
0101,2.031008131515815,0.02373046875
1111,7.136129710583916,0.02744140625
1000,2.0,0.0171875
1101,1.3831906496271777,0.3306640625
1100,4.7353731677385404,0.0068359375
1110,13.09037222002324,0.0140625
0000,4.0,0.1
0100,2.3831906496271777,0.032421875
0111,3.1818872011445904,0.06943359375
1010,5.294739040945382,0.06259765625
0011,3.0906190582894566,0.118359375
