iteration,energy,paramter,std
54,-5.752752168749975,[2.52381924 0.53576883 0.44366863 0.51642725],0.2996446983904138
55,-5.628613782714838,[2.52381349 0.53576971 0.44368677 0.51641212],0.3074777367290328
56,-5.633524063964833,[2.52382268 0.535768   0.44367045 0.51640888],0.30317830000088386
57,-6.49321741152345,[2.52382086 0.53576305 0.44367473 0.51641405],0.29415331998214134
58,-5.543582740917937,[2.52382598 0.53575858 0.44367773 0.51641577],0.30092015516462184
59,-5.71320990097659,[2.52381821 0.53576405 0.44367728 0.51641384],0.3029490183100149
60,-6.770153243847654,[2.5238205  0.53576317 0.44367446 0.5164159 ],0.2897204017823907
61,-5.963565208691392,[2.52382055 0.53576373 0.44367088 0.51641709],0.29542047927127907
62,-6.524642190722633,[2.52382164 0.53576216 0.44367524 0.51641673],0.2964289047519105
63,-6.816405366308585,[2.52381997 0.53576239 0.4436743  0.51641582],0.29309810652327484
64,-6.383045726171875,[2.52381853 0.53576287 0.44367537 0.51641625],0.296608653334387
65,-5.868458732617186,[2.52382    0.53576241 0.44367337 0.51641602],0.2962589103794884
66,-6.223508623144505,[2.52381983 0.53576254 0.44367421 0.51641541],0.29836541930631766
67,-6.061309243554668,[2.52382047 0.53576188 0.44367489 0.51641607],0.3004455248401863
68,-6.530760821191415,[2.52381965 0.53576254 0.44367446 0.5164161 ],0.2947561483725889
69,-6.111276569433584,[2.52382011 0.53576226 0.44367443 0.51641587],0.29454925307875013
70,-5.494653542675787,[2.52381991 0.53576229 0.44367428 0.51641582],0.3043920597972802
71,-5.6589206703124795,[2.5238201  0.53576257 0.44367423 0.51641589],0.3059361718558841
72,-5.989507980664064,[2.52381992 0.53576244 0.44367439 0.51641585],0.3028511532813626
73,-6.195180441113254,[2.52382    0.53576241 0.44367432 0.51641571],0.29723475350898365
74,-5.938794715917969,[2.52382001 0.53576242 0.44367427 0.51641585],0.2998258749714768
75,-6.226482498046871,[2.52381995 0.5357624  0.44367429 0.51641582],0.29723548106685377
76,-6.464817682128905,[2.52381998 0.53576233 0.44367432 0.51641583],0.2969218727766435
77,-5.9128132562499784,[2.52381999 0.53576239 0.44367431 0.5164158 ],0.2979894735876588
78,-5.732746921289041,[2.52381996 0.5357624  0.44367432 0.51641584],0.306867779390553
79,-6.233285251367195,[2.52381998 0.53576239 0.44367429 0.51641583],0.29511490833386944
80,-6.13868492666017,[2.52381997 0.53576238 0.4436743  0.51641582],0.297713593331624
81,-5.924626991015636,[2.52381997 0.53576239 0.44367431 0.51641583],0.30293868248099554
82,-6.0002485068359315,[2.52381997 0.53576239 0.4436743  0.51641583],0.29763377229481097
83,-6.548815932910144,[2.52381998 0.53576239 0.4436743  0.51641582],0.29469967275854586
84,-5.810876377246075,[2.52381997 0.53576239 0.4436743  0.51641583],0.30456448463517644
85,-6.47840771484373,[2.52381998 0.53576239 0.4436743  0.51641583],0.29584847645503054
86,-5.9135597387695285,[2.52381997 0.53576239 0.4436743  0.51641582],0.30511799546410157
87,-5.754434437597655,[2.52381997 0.53576239 0.4436743  0.51641583],0.3035408922281976
88,-5.818147730175799,[2.52381997 0.53576239 0.4436743  0.51641582],0.30228037005259306
89,-5.81426786015622,[2.52381997 0.53576239 0.4436743  0.51641582],0.3014402810139763
90,-6.18349367919922,[2.52381997 0.53576239 0.4436743  0.51641582],0.3005958667081457
91,-5.92605322373044,[2.52381997 0.53576239 0.4436743  0.51641582],0.3014260856355788
92,-6.020982367773434,[2.52381997 0.53576239 0.4436743  0.51641582],0.2966713474641955
93,-6.018177115917954,[2.52381997 0.53576239 0.4436743  0.51641582],0.2989184765307867
94,-6.351914521191369,[2.52381997 0.53576239 0.4436743  0.51641582],0.29468694831767916
95,-6.113967771874987,[2.52381997 0.53576239 0.4436743  0.51641582],0.299110976955857
96,-5.713004995703118,[2.52381997 0.53576239 0.4436743  0.51641582],0.30187503748698324
97,-6.348857503027333,[2.52381997 0.53576239 0.4436743  0.51641582],0.29854671522555737
98,-6.317358749023421,[2.52381997 0.53576239 0.4436743  0.51641582],0.2962752221093621
99,-6.25294280136719,[2.52381997 0.53576239 0.4436743  0.51641582],0.2957819922497271
100,-5.903706679394516,[2.52381997 0.53576239 0.4436743  0.51641582],0.3021287001412731
